,student,no_passed_courses_4,no_of_failed_courses_4,no_of_unattempted_courses_4,avg_grade_all_courses_4,no_passed_courses_3,no_of_failed_courses_3,no_of_unattempted_courses_3,avg_grade_all_courses_3,no_passed_courses_2,no_of_failed_courses_2,no_of_unattempted_courses_2,avg_grade_all_courses_2,no_passed_courses_1,no_of_failed_courses_1,no_of_unattempted_courses_1,avg_grade_all_courses_1,label
108,783,4.0,0.0,0.0,1.7,5.0,0.0,0.0,2.4,5.0,0.0,0.0,1.3,5.0,0.0,0.0,1.5,1
109,787,4.0,0.0,0.0,1.8,5.0,0.0,0.0,2.9,5.0,0.0,0.0,2.7,3.0,0.0,0.0,3.3,1
110,788,1.0,0.0,0.0,2.0,3.0,1.0,0.0,3.4,3.0,0.0,0.0,1.6,7.0,1.0,0.0,2.8,1
111,790,4.0,0.0,0.0,1.2,4.0,0.0,0.0,1.3,4.0,0.0,0.0,1.2,12.0,0.0,0.0,1.8,1
113,792,6.0,0.0,0.0,1.6,6.0,0.0,0.0,2.4,6.0,0.0,0.0,1.7,6.0,0.0,0.0,2.6,1
114,793,5.0,0.0,0.0,1.3,5.0,0.0,0.0,1.4,4.0,0.0,0.0,1.7,3.0,0.0,0.0,1.8,1
116,796,4.0,0.0,0.0,1.4,4.0,0.0,0.0,1.9,3.0,0.0,0.0,1.7,0.0,0.0,0.0,5.1,1
117,797,3.0,0.0,0.0,2.0,3.0,0.0,0.0,2.2,3.0,0.0,0.0,2.2,6.0,0.0,0.0,2.2,1
118,798,3.0,2.0,0.0,3.4,2.0,1.0,0.0,3.8,3.0,1.0,0.0,2.4,4.0,1.0,0.0,3.3,0
119,799,6.0,0.0,0.0,1.8,6.0,0.0,0.0,3.0,6.0,0.0,0.0,2.3,6.0,0.0,0.0,2.6,1
120,809,4.0,0.0,0.0,1.2,4.0,0.0,0.0,1.2,4.0,0.0,0.0,1.2,13.0,0.0,0.0,1.9,1
124,822,6.0,1.0,1.0,2.0,2.0,2.0,0.0,3.8,3.0,0.0,0.0,2.0,4.0,1.0,0.0,3.3,0
125,828,2.0,0.0,0.0,3.4,1.0,0.0,0.0,1.3,3.0,0.0,0.0,2.9,3.0,0.0,0.0,2.9,0
126,830,6.0,0.0,0.0,1.5,6.0,0.0,0.0,2.3,6.0,0.0,0.0,1.2,6.0,0.0,0.0,2.1,1
127,832,6.0,0.0,0.0,1.9,6.0,0.0,0.0,2.9,6.0,0.0,0.0,1.8,6.0,0.0,0.0,2.0,1
128,837,7.0,0.0,0.0,1.1,6.0,0.0,0.0,1.1,5.0,1.0,0.0,2.0,6.0,0.0,0.0,1.4,1
129,840,1.0,0.0,0.0,1.7,3.0,0.0,0.0,1.1,0.0,0.0,0.0,5.1,0.0,0.0,0.0,5.1,0
130,842,3.0,0.0,2.0,2.4,1.0,0.0,0.0,1.3,2.0,1.0,0.0,3.0,2.0,1.0,0.0,3.1,0
132,847,6.0,0.0,0.0,1.2,6.0,0.0,0.0,1.7,6.0,0.0,0.0,1.4,5.0,0.0,0.0,1.6,1
133,848,1.0,1.0,0.0,3.8,1.0,0.0,0.0,4.0,2.0,1.0,0.0,3.9,0.0,0.0,0.0,5.1,0
135,888,4.0,0.0,0.0,2.6,4.0,0.0,0.0,2.7,3.0,0.0,0.0,2.6,3.0,0.0,0.0,2.7,1
136,891,6.0,0.0,0.0,2.0,6.0,0.0,0.0,2.9,5.0,0.0,0.0,2.3,6.0,0.0,0.0,2.8,1
137,894,10.0,0.0,0.0,2.2,3.0,0.0,0.0,3.3,4.0,1.0,0.0,2.9,1.0,0.0,0.0,1.7,1
138,897,6.0,0.0,0.0,1.9,5.0,1.0,0.0,2.6,6.0,0.0,0.0,2.3,6.0,0.0,0.0,2.1,1
139,899,1.0,0.0,2.0,1.3,15.0,0.0,0.0,2.8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.1,0
140,900,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.1,0.0,0.0,0.0,5.1,0.0,0.0,0.0,5.1,0
141,902,5.0,0.0,1.0,3.1,7.0,0.0,0.0,3.1,3.0,3.0,0.0,3.7,3.0,1.0,0.0,3.1,0
145,911,4.0,0.0,0.0,1.8,3.0,0.0,1.0,1.5,4.0,0.0,0.0,1.6,4.0,0.0,0.0,1.7,1
146,915,6.0,0.0,0.0,1.9,4.0,0.0,0.0,2.5,6.0,0.0,0.0,2.4,5.0,0.0,0.0,2.5,1
147,916,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,10.0,0.0,0.0,2.4,2.0,0.0,0.0,1.2,0
148,917,2.0,0.0,0.0,1.3,0.0,0.0,0.0,5.1,0.0,0.0,0.0,5.1,0.0,0.0,0.0,5.1,0
149,918,6.0,0.0,0.0,1.9,4.0,0.0,0.0,1.8,0.0,0.0,0.0,5.1,0.0,0.0,0.0,5.1,1
150,920,4.0,0.0,0.0,1.9,4.0,0.0,0.0,3.0,5.0,0.0,0.0,2.7,7.0,1.0,0.0,3.2,1
152,937,3.0,0.0,2.0,1.8,2.0,1.0,0.0,3.7,3.0,0.0,0.0,2.4,3.0,0.0,0.0,2.7,0
155,979,4.0,1.0,0.0,2.1,3.0,1.0,2.0,2.8,6.0,0.0,0.0,2.7,3.0,0.0,0.0,3.2,1
159,991,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,3.4,0
160,994,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,2.3,0.0,0.0,0.0,5.1,0
161,995,7.0,0.0,1.0,2.4,4.0,1.0,4.0,3.3,4.0,1.0,1.0,3.1,6.0,0.0,0.0,2.6,1
163,999,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,2.0,1.5,0
164,1000,1.0,0.0,2.0,2.0,1.0,0.0,2.0,2.3,0.0,0.0,3.0,0.0,3.0,0.0,0.0,2.0,0
169,1009,5.0,0.0,0.0,1.1,4.0,0.0,1.0,1.3,3.0,0.0,0.0,1.6,3.0,0.0,0.0,1.9,1
170,1011,2.0,0.0,2.0,2.0,1.0,0.0,1.0,2.0,0.0,0.0,3.0,0.0,11.0,3.0,0.0,2.8,0
171,1012,5.0,0.0,0.0,1.3,4.0,0.0,0.0,1.4,1.0,1.0,1.0,3.8,3.0,0.0,0.0,1.7,1
173,1025,5.0,0.0,0.0,1.8,5.0,0.0,1.0,2.0,4.0,0.0,0.0,2.0,3.0,0.0,0.0,2.3,1
174,1034,5.0,0.0,1.0,1.1,6.0,0.0,0.0,2.3,5.0,0.0,0.0,1.6,6.0,0.0,0.0,1.6,1
175,1036,0.0,0.0,6.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,6.0,0.0,4.0,0.0,0.0,1.5,0
181,1074,2.0,0.0,0.0,1.8,5.0,1.0,0.0,2.3,9.0,0.0,2.0,1.8,11.0,0.0,2.0,2.3,1
184,1086,7.0,0.0,0.0,1.8,7.0,0.0,0.0,2.1,5.0,0.0,1.0,1.9,5.0,0.0,0.0,1.7,0
188,1095,4.0,0.0,0.0,1.4,4.0,0.0,0.0,1.8,5.0,0.0,0.0,1.9,3.0,0.0,0.0,1.5,0
189,1097,1.0,0.0,0.0,3.0,5.0,0.0,0.0,1.9,19.0,0.0,0.0,3.4,6.0,0.0,0.0,2.4,1
191,1100,6.0,0.0,0.0,1.4,6.0,0.0,0.0,2.3,6.0,0.0,0.0,1.8,6.0,0.0,0.0,1.8,1
192,1103,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,2.0,2.7,1.0,0.0,0.0,2.0,0
198,1119,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,1.3,0
199,1121,4.0,0.0,1.0,2.1,2.0,0.0,3.0,2.0,2.0,0.0,4.0,2.5,3.0,0.0,1.0,2.1,0
200,1125,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.7,0.0,0.0,0.0,5.1,0.0,0.0,0.0,5.1,0
208,1174,6.0,0.0,0.0,1.5,8.0,0.0,0.0,2.2,6.0,0.0,0.0,1.5,4.0,0.0,1.0,1.4,1
213,1192,5.0,0.0,0.0,1.3,7.0,1.0,0.0,2.5,7.0,0.0,0.0,1.9,4.0,0.0,0.0,2.0,1
215,1209,9.0,0.0,0.0,1.1,7.0,0.0,0.0,1.2,3.0,0.0,3.0,1.6,5.0,0.0,1.0,1.2,1
217,1213,6.0,0.0,0.0,1.2,7.0,0.0,0.0,1.9,6.0,0.0,0.0,1.8,5.0,1.0,0.0,2.5,0
219,1225,5.0,0.0,0.0,1.5,5.0,1.0,0.0,2.0,6.0,0.0,0.0,1.4,10.0,0.0,0.0,2.8,1
220,1229,1.0,0.0,0.0,2.0,3.0,0.0,0.0,2.6,1.0,2.0,0.0,4.2,2.0,1.0,0.0,2.8,1
223,1273,11.0,0.0,0.0,1.3,6.0,0.0,0.0,1.7,6.0,0.0,0.0,1.4,7.0,0.0,0.0,1.3,0
231,1305,6.0,0.0,0.0,1.3,3.0,0.0,0.0,1.4,3.0,0.0,0.0,1.0,3.0,0.0,0.0,1.1,0
235,1312,5.0,0.0,0.0,1.7,2.0,0.0,0.0,1.8,1.0,0.0,0.0,4.0,2.0,0.0,0.0,2.8,0
241,1324,4.0,0.0,0.0,1.4,4.0,0.0,0.0,2.1,3.0,0.0,0.0,1.8,2.0,0.0,0.0,1.4,0
249,1528,7.0,0.0,0.0,1.5,3.0,0.0,0.0,3.3,12.0,0.0,0.0,1.5,6.0,0.0,0.0,1.8,1
