;M01_1_N;M02_1_N;M03_1_N;M04_1_N;M05_1_N;M06_1_N;status
325;5.1;5.1;5.1;5.1;5.1;5.1;1
326;5.1;5.1;5.1;5.1;5.1;5.1;1
327;5.1;5.1;5.1;5.1;5.1;5.1;1
328;5.1;5.1;5.1;5.1;5.1;5.1;1
329;5.1;5.1;5.1;5.1;5.1;5.1;1
330;5.0;5.1;5.1;5.1;1.7;5.1;1
331;5.1;5.1;5.0;5.1;5.0;5.1;1
332;3.7;5.0;1.7;3.7;2.3;5.1;1
333;5.1;5.1;5.1;5.1;5.1;5.1;1
334;5.0;5.1;5.1;5.1;5.1;5.1;1
335;5.1;5.1;5.1;5.1;5.1;5.1;1
336;5.1;5.1;5.1;5.1;5.1;5.1;1
337;5.0;5.0;2.0;5.1;3.3;5.1;1
338;5.1;5.1;5.1;5.1;5.1;5.1;1
339;5.1;5.1;5.1;5.1;5.1;5.1;1
340;4.0;3.3;5.1;5.1;5.1;5.1;1
341;4.0;5.0;3.7;5.1;1.3;5.1;1
342;5.0;5.0;2.0;5.1;1.7;5.1;1
343;5.1;5.1;5.1;5.1;5.1;5.1;1
344;5.1;5.1;5.1;5.1;5.1;5.1;1
345;5.1;5.1;5.1;5.1;5.1;5.1;1
346;5.1;5.1;5.1;5.1;5.1;5.1;1
347;5.1;5.1;5.1;5.1;5.1;5.1;1
348;4.0;5.0;3.3;5.1;5.1;5.1;1
349;2.7;5.1;2.0;5.1;1.3;5.1;1
350;5.1;5.1;5.1;5.1;5.1;5.1;1
351;5.1;5.1;5.1;5.1;5.1;5.1;1
352;5.1;5.1;5.1;5.1;5.1;5.1;1
353;5.0;5.0;2.7;5.1;5.1;5.1;1
354;5.1;5.1;5.1;5.1;5.1;5.1;1
355;5.1;5.1;5.1;5.1;5.1;5.1;1
356;2.7;5.1;1.3;5.1;5.0;5.1;0
357;5.1;5.1;5.1;5.1;5.1;5.1;1
358;2.3;5.0;1.7;5.1;2.0;5.1;1
359;1.7;5.0;1.0;5.1;2.0;5.1;1
360;5.1;5.1;5.1;5.1;5.1;5.1;1
361;3.0;5.1;5.1;5.1;5.1;5.1;1
362;5.1;5.1;5.1;5.1;5.1;5.1;1
363;3.3;5.1;1.3;1.0;2.0;4.0;1
364;5.1;5.1;5.1;5.1;5.1;5.1;1
365;5.1;5.1;5.1;5.1;2.0;5.1;1
366;5.1;5.1;5.1;5.1;5.1;2.0;1
367;1.7;5.1;1.7;5.1;1.3;1.3;0
368;1.7;1.3;1.0;1.0;2.3;1.3;1
369;5.1;5.1;5.1;5.1;5.1;5.1;1
370;5.1;5.1;5.1;5.1;5.1;5.1;1
371;5.1;5.1;5.1;5.1;5.1;5.1;1
372;5.1;5.1;5.1;5.1;5.1;5.1;1
373;5.1;5.1;5.1;5.1;5.1;5.1;1
374;5.1;5.1;5.1;5.1;5.1;5.1;1
375;5.1;5.1;5.1;5.1;5.1;5.1;1
376;5.1;5.1;2.3;5.1;1.3;5.1;1
377;4.0;1.7;2.0;1.3;1.7;3.7;0
378;5.1;5.1;5.1;5.1;5.1;5.1;1
379;5.1;5.1;5.1;5.1;5.1;5.1;1
380;2.7;5.0;5.1;3.3;1.3;5.1;1
381;5.1;5.1;5.1;5.1;5.1;5.1;1
382;5.1;5.1;5.1;5.1;5.1;5.1;1
383;5.1;5.1;5.1;5.1;5.1;5.1;1
384;5.1;5.1;5.1;5.1;5.1;5.1;1
385;3.7;3.0;3.7;2.7;5.1;5.0;1
386;5.1;5.1;5.1;5.1;5.1;5.1;1
387;5.1;5.1;1.7;5.1;2.0;5.1;0
388;5.1;5.1;5.1;5.1;5.1;5.1;1
389;5.1;5.1;5.1;5.1;5.1;5.1;1
390;5.1;5.1;5.1;5.1;5.0;5.1;1
391;5.1;5.1;5.1;5.1;5.1;5.1;1
392;5.1;5.1;5.1;5.1;5.1;5.1;1
393;5.1;5.1;5.1;5.1;5.1;5.1;1
394;5.1;3.0;5.1;5.1;5.1;5.1;1
395;5.1;5.1;5.1;5.1;5.1;5.1;1
396;5.1;5.1;5.1;5.1;1.7;5.1;1
397;5.1;5.1;5.1;5.1;5.1;5.1;1
398;2.3;2.0;5.1;5.1;5.1;5.1;1
399;4.0;5.0;5.1;5.1;1.3;5.1;1
400;5.1;5.1;5.1;5.1;5.1;5.1;1
401;5.1;1.3;1.7;2.3;1.7;5.1;1
402;5.1;5.1;1.3;5.1;1.0;5.1;1
403;5.1;5.1;5.1;5.1;5.1;5.1;1
404;5.1;5.1;5.1;5.1;5.1;5.1;1
405;5.1;5.1;5.1;5.1;5.1;5.1;1
406;5.1;5.1;5.1;5.1;5.1;5.1;1
407;5.1;5.1;5.1;5.1;1.3;5.1;1
408;2.0;1.0;1.3;1.0;1.3;5.1;1
409;5.1;5.1;5.1;5.1;1.3;5.1;1
410;5.1;5.1;5.1;5.1;5.1;5.1;1
411;5.1;5.1;5.1;5.1;5.1;5.1;1
412;5.1;5.1;3.0;5.1;3.0;5.1;1
